Quantidade de elementos: 100000
Número de threads: 16
Número de buckets: 100
=== TEMPOS DE EXECUÇÃO ===
Metodo,Tempo (segundos)
Insertion Sort Sequencial,12.185754
Insertion Sort Multithread,1.413304
Bucket Sort Sequencial,0.160467
Bucket Sort Multithread,0.270195
Insertion Sort,0.000003
Insertion Sort multithread,0.002128
Insertion Sort,0.000003
Insertion Sort multithread,0.002517
Insertion Sort,0.000004
Insertion Sort multithread,0.002310
Insertion Sort,0.000003
Insertion Sort multithread,0.000672
Insertion Sort,0.000003
Insertion Sort,0.000015
Insertion Sort,0.000003
Insertion Sort,0.000003
Insertion Sort,0.000003
Insertion Sort,0.000003
Insertion Sort,0.000003
Insertion Sort,0.000001
Insertion Sort,0.000003
Insertion Sort,0.000002
